accession	Plantheight	Earheight	Earleafwidth	Earleaflength	Tasselmainaxislength	Tasselbranchnumber	Leafnumberaboveear	Earlength	Eardiameter	Cobdiameter	Earrownumber	Kernernumberperrow	100grainweight	cobweight	kernellength	Kernelwidth	Kernelthickness	Silkingtime	Pollenshed	Headingdate	cobcolor
MODEM-TY11	189.0221292	71.12400113	8.918723114	73.5562069	36.05814784	6.041726424	5.126054302	12.61647423	4.009239345	2.321756011	13.49187637	21.56632273	25.19972271	15.5141462	10.118591	8.535301967	4.41315604	69.5634	68.5751	67.0362	0.0
MODEM-TY2	166.4944718	63.01759061	8.389298559	69.43437528	29.60119399	9.921218227	5.66702337	11.80579642	4.05392142	2.59472901	16.39361098	19.86526562	24.10105121	15.76542283	10.44425421	7.954583598	4.41580676	70.9553	69.3542	66.7015	1.0
MODEM-TY3	164.4958567	59.40452271	8.724017389	74.34326746	27.92617455	7.737993077	5.059031586	13.49613838	4.058480816	2.372368592	15.38611664	23.8359281	26.76202015	13.52557672	10.04829366	7.967984792	4.602682481	68.7068	67.4621	64.6933	1.0
MODEM-TY4	175.3443736	62.28647569	8.964664914	78.72214487	30.42378814	8.800600106	5.557872089	14.15150851	3.853490398	2.251419411	13.8314812	24.97315667	25.34735097	15.41122847	10.31226736	8.624643254	4.761725649	70.8482	68.2412	65.5859	1.0
MODEM-TY5	167.3320753	67.39809731	7.881751052	71.41112566	26.61882411	9.691683953	5.33861206	12.11552735	4.127783626	2.533882268	17.84259159	22.99425045	22.4588393	17.37667129	9.665244859	7.540635633	4.458218271	72.3472	71.3576	67.7056	1.0
MODEM-TY6	169.4066952	65.97760131	8.993105076	74.87555698	30.73533728	7.672172799	5.73979089	12.46841896	4.137084793	2.533510117	18.13314239	21.98552228	22.95601713	16.32605276	10.42416926	7.546591719	4.61063464	72.24015	69.7994	67.37094	1.0
MODEM-TY7	178.309335	63.35841691	8.892470656	77.19124383	30.1210019	7.652649835	5.672768174	12.54448081	3.979147336	2.345015469	16.71434887	22.82832272	24.26454036	13.24566783	9.666679499	7.576372148	4.835945794	71.0624	69.4655	66.1437	1.0
MODEM-TY8	198.1372722	74.45343354	8.341169054	78.05564561	33.76114878	8.7498404	5.562659426	13.24937959	3.926440725	2.160614487	13.10699089	26.80901475	23.74601134	15.57084625	9.868963696	8.221118439	4.175916648	71.3836	68.909	67.1478	0.0
MODEM-TY9	185.7609043	69.64940572	8.51837314	74.24545358	33.64480727	5.646804757	4.821579676	12.0881097	3.911303532	2.270399128	15.38989003	21.19952814	25.2192438	13.47437391	10.50450908	7.364931101	4.472797228	67.4219	67.5734	66.0321	1.0
MODEM-U8112	166.0142901	51.3696559	7.765802699	67.8079351	26.35481837	7.406102693	5.402762374	13.44112016	3.569332294	2.358612055	12.83051943	22.24894611	21.91961443	13.61778262	8.906939602	7.592635918	4.83937445	71.7048	68.909	67.5941	0.0
MODEM-W138	136.2187903	40.10318876	7.982415694	54.40251249	28.42161026	5.173985169	5.235087647	12.80294087	3.504427295	2.088857048	10.56725824	18.37490549	28.27425155	13.05732068	9.178547999	9.144858031	4.904296383	69.1544	66.178	61.9554	0.0
MODEM-WH413	131.3158987	56.72892034	7.492339603	61.88223347	22.88694642	7.19190789	4.435720324	9.259493307	3.620778857	2.361576204	12.97869573	17.22029897	19.67403344	12.13443012	7.451595808	7.763988852	4.764376368	66.6724	67.2395	64.247	0.0
MODEM-WMR	131.6535992	48.22493435	6.543422658	65.94833392	22.38727454	7.523798275	5.316316748	10.98675714	3.277493267	2.13102124	13.75728587	21.30349572	16.8480088	11.64949366	7.375559904	7.160935162	4.476773307	68.0644	67.4621	66.7015	0.0
